name,type,location,lat,long,artist,owner,source,url,year,form,access,notes
Betty Campbell,woman,"Central Square, Cardiff",51.478,-3.179,Eve Shepherd,Cardiff,Art UK,https://en.wikipedia.org/wiki/Betty_Campbell,2021,statue,public,approx square pin
George Eliot,woman,"Newdegate Square, Nuneaton",52.523,-1.468,John Letts,Nuneaton,PSSA,https://pssauk.org/women/,1986,statue,public,approx
Alice Hawkins,woman,"Market Place, Leicester",52.634,-1.133,Sean Hedges-Quinn,Leicester,Wikipedia,https://en.wikipedia.org/wiki/Statue_of_Alice_Hawkins,2018,statue,public,approx
Henrietta Lacks,woman,"University of Bristol, Bristol",51.458,-2.602,Helen Wilson-Roe,University of Bristol,Wikipedia,https://en.wikipedia.org/wiki/Statue_of_Henrietta_Lacks,2021,statue,campus,approx
Margaret Thatcher (Grantham),woman,"St Peter’s Hill, Grantham",52.911,-0.641,Douglas Jennings,Local,Wikipedia,https://en.wikipedia.org/wiki/Statue_of_Margaret_Thatcher_(Grantham),2022,statue,public,approx
Eleanor Rigby,woman,"Stanley Street, Liverpool",53.406,-2.987,Tommy Steele,Liverpool,Wikipedia,https://en.wikipedia.org/wiki/Eleanor_Rigby_(statue),1982,statue,public,fictional character; named woman figure
Ada Lovelace,woman,"7–9 Millbank / Horseferry Road, London",51.495,-0.126,Dallas-Pierce-Quintero / others,Private building,Art UK,https://artuk.org/discover/artworks/ada-lovelace-18151852-330833,2022,statue,rooftop,visible from street; rooftop siting
Joy Battick (Platform Piece),woman,"Brixton Station, London",51.463,-0.114,Kevin Atherton,Network Rail / Brixton,WomenstatuesUK,https://womenstatuesuk.com/,1986,statue,public,approx station pin; first named woman of colour statue in London
Black Mary (Mary Woolaston),woman,"Calthorpe Community Garden, London",51.527,-0.116,Marcia Bennett Male,Community garden,WomenstatuesUK,https://womenstatuesuk.com/,,statue,public,approx
Elizabeth Fry,woman,"Old Bailey, London",51.5155,-0.1015,Alfred Drury / others,City of London,WomenstatuesUK,https://womenstatuesuk.com/,,statue,indoor,tours; indoor
Dorothy Peel,woman,"River Drive, South Shields",54.997,-1.439,Unknown,South Tyneside,WomenstatuesUK,https://womenstatuesuk.com/,1987,statue,public,approx
Mary Ann Macham,woman,North Shields riverside,55.008,-1.444,Unknown,North Tyneside,WomenstatuesUK,https://womenstatuesuk.com/,2023,statue,public,approx
Winifred Carney,woman,Belfast City Hall grounds,54.596,-5.93,Unknown,Belfast City Council,WomenstatuesUK,https://womenstatuesuk.com/,2024,statue,public,approx
Mary Ann McCracken,woman,Belfast City Hall grounds,54.5964,-5.9295,Unknown,Belfast City Council,WomenstatuesUK,https://womenstatuesuk.com/,2024,statue,public,approx; jittered vs Carney
Katie Ashbridge,woman,"Malvern College, Worcestershire",52.108,-2.326,Laura Lian,Malvern College,PSSA,https://pssauk.org/women/,2011,statue,campus,approx
Alison Balsom,woman,"Green Street / Melbourn Road, Royston",52.048,-0.024,Sustrans Project,Sustrans,PSSA,https://pssauk.org/women/,,silhouette,public,approx
Dame Eleanor Allan,woman,"College House, Northumberland Road, Newcastle",54.978,-1.608,Unknown,Dame Allan’s School,PSSA,https://pssauk.org/women/,1882,statue,campus,architectural niche; approx
Emmeline and Christabel Pankhurst Memorial,woman,"Victoria Tower Gardens, London",51.4975,-0.125,A. G. Walker,Westminster,Wikipedia,https://en.wikipedia.org/wiki/Emmeline_and_Christabel_Pankhurst_Memorial,1930,statue,public,approx gardens pin
Gracie Fields,woman,"Town Hall Square, Rochdale",53.617,-2.159,Unknown,Rochdale,PSSA,https://pssauk.org/women/,,statue,public,approx
Victoria Wood,woman,"Library Gardens, Bury",53.593,-2.297,Graham Ibbeson,Bury,PSSA,https://pssauk.org/women/,2019,statue,public,approx
Agatha Christie (Covent Garden),woman,"Great Newport Street / Cranbourn Street, London",51.5116,-0.1278,Ben Twiston-Davies,Westminster,PSSA,https://pssauk.org/women/,2012,bust,public,memorial bust
Emily Davison,woman,"Carlton Park / Morpeth area, Northumberland",55.167,-1.687,Unknown,Local,PSSA,https://pssauk.org/women/,,statue,approx,verify exact siting
Sister Dora,woman,Walsall town centre,52.586,-1.983,F. J. Williamson,Walsall,PSSA,https://pssauk.org/women/,1886,statue,public,approx
Grace Darling,woman,"Bamburgh, Northumberland",55.608,-1.717,Unknown,Local,PSSA,https://pssauk.org/women/,,statue,public,approx
Elsie Inglis,woman,Edinburgh,55.953,-3.189,Unknown,Edinburgh,Wikipedia category,https://en.wikipedia.org/wiki/Elsie_Inglis,,statue,approx,verify exact memorial location
Elizabeth Andrews,woman,Wales (see source),51.75,-3.38,Unknown,Local,Wikipedia,https://en.wikipedia.org/wiki/Statue_of_Elizabeth_Andrews,,statue,approx,verify town
Sophia Duleep Singh (commemorations vary),woman,London (suffrage heritage),51.501,-0.142,Various,Various,PSSA / heritage,https://en.wikipedia.org/wiki/Sophia_Duleep_Singh,,bust,approx,placeholder pin near Buckingham Palace area; refine
Sylvia Pankhurst (Sustrans silhouette),woman,London / Sustrans sites,51.527,-0.055,Sustrans,Sustrans,PSSA,https://pssauk.org/women/,,silhouette,approx,one of multiple Sustrans silhouettes
Florence Nightingale (Aldershot bust),woman,Aldershot,51.248,-0.767,Amy Goodman,Local,Art UK,https://artuk.org/discover/stories/redressing-the-balance-public-sculptures-of-women,2021,bust,public,approx
Margaret Thatcher (Guildhall Art Gallery),woman,"Guildhall, London",51.5158,-0.092,Neil Simmons / others,City of London,Wikipedia,https://en.wikipedia.org/wiki/Statue_of_Margaret_Thatcher_(London_Guildhall),1998,statue,indoor,
Diana Fountain (Green Park),woman,"Green Park, London",51.5045,-0.144,Unknown,Royal Parks,Wikipedia,"https://en.wikipedia.org/wiki/Diana_Fountain,_Green_Park",,statue,public,allegorical Diana; not PSSA named-non-royal
A Surge of Power (Jen Reid),woman,"The Centre, Bristol (temporary history)",51.4545,-2.597,Marc Quinn,Temporary / documented,Wikipedia,https://en.wikipedia.org/wiki/A_Surge_of_Power_(Jen_Reid)_2020,2020,statue,approx,removed; retained as historical record of public sculpture of a named woman
Messenger (Plymouth),woman,Theatre Royal Plymouth,50.37,-4.143,Joseph Hillier,Plymouth,Wikipedia,https://en.wikipedia.org/wiki/Messenger_(sculpture_in_Plymouth),2019,statue,public,female figure; confirm naming
The Ballad of Sophia Constable,woman,England (see Wikipedia),51.28,0.52,Unknown,Local,Wikipedia,https://en.wikipedia.org/wiki/The_Ballad_of_Sophia_Constable,,statue,approx,verify location
Ethel Preston memorial,woman,England (see Wikipedia),52.48,-1.89,Unknown,Local,Wikipedia,https://en.wikipedia.org/wiki/Ethel_Preston_memorial,,statue,approx,verify location
Queen Anne (Minehead),woman,"Minehead, Somerset",51.205,-3.478,Unknown,Local,Wikipedia,"https://en.wikipedia.org/wiki/Statue_of_Queen_Anne,_Minehead",,statue,public,royal; not PSSA named-non-royal
Queen Anne (St Paul’s Churchyard),woman,"St Paul's Churchyard, London",51.5136,-0.0985,Francis Bird,City of London,Wikipedia,"https://en.wikipedia.org/wiki/Statue_of_Queen_Anne,_St_Paul%27s_Churchyard",1712,statue,public,royal
Queen Victoria (Bristol),woman,"College Green, Bristol",51.452,-2.601,Joseph Edgar Boehm,Bristol,Wikipedia,"https://en.wikipedia.org/wiki/Statue_of_Queen_Victoria,_Bristol",1888,statue,public,royal
Queen Victoria (Brighton),woman,Brighton,50.8225,-0.1372,Unknown,Brighton,Wikipedia,"https://en.wikipedia.org/wiki/Statue_of_Queen_Victoria,_Brighton",,statue,public,royal; approx
Queen Victoria (Reading),woman,"Town Hall / Forbury area, Reading",51.455,-0.969,George Blackall Simonds,Reading,Wikipedia,"https://en.wikipedia.org/wiki/Statue_of_Queen_Victoria,_Reading",,statue,public,royal; approx
Queen Victoria (Chester),woman,Chester Castle / Grosvenor area,53.189,-2.892,Unknown,Chester,Wikipedia,"https://en.wikipedia.org/wiki/Statue_of_Queen_Victoria,_Chester",,statue,public,royal; approx
Queen Victoria (St Helens),woman,St Helens,53.454,-2.736,Unknown,St Helens,Wikipedia,"https://en.wikipedia.org/wiki/Statue_of_Queen_Victoria,_St_Helens",,statue,public,royal; approx
Queen Victoria memorial (Leeds),woman,Leeds,53.8008,-1.5491,Unknown,Leeds,Wikipedia,"https://en.wikipedia.org/wiki/Memorial_to_Queen_Victoria,_Leeds",,statue,public,royal; approx
Elizabeth II (Oakham),woman,"Oakham, Rutland",52.671,-0.733,Unknown,Local,Wikipedia,"https://en.wikipedia.org/wiki/Statue_of_Elizabeth_II,_Oakham",,statue,public,royal; approx
Elizabeth II (York Minster),woman,"York Minster, York",53.962,-1.082,Unknown,York Minster,Wikipedia,"https://en.wikipedia.org/wiki/Statue_of_Elizabeth_II,_York_Minster",,statue,public,royal; approx
Sylvia Townsend Warner,woman,"High Street, Dorchester",50.715,-2.437,Unknown,Dorchester,WomenstatuesUK,https://womenstatuesuk.com/,2025,bench,public,approx; statue-bench
Doreen (evacuee),woman,"Donyatt Halt, near Ilminster, Somerset",50.926,-2.941,Ian Edwards,Station project,WomenstatuesUK,https://womenstatuesuk.com/,2009,statue,public,approx
Geraldine Connor,woman,"Leeds School of Arts, Portland Way, Leeds",53.802,-1.548,Lara Rose,Leeds Beckett / arts,WomenstatuesUK,https://womenstatuesuk.com/,,statue,campus,3D-printed; indoor foyer possible
Enid Blyton,woman,Broadstairs / Isle of Thanet area,51.359,1.439,Unknown,Local,PSSA,https://pssauk.org/women/,,statue,approx,
Margot Fonteyn,woman,UK (see PSSA),51.5,-0.12,Unknown,Various,PSSA,https://pssauk.org/women/,,bust,approx,refine location
Marie Curie memorials (UK sites),woman,Multiple UK sites — London pin,51.515,-0.145,Various,Various,PSSA,https://pssauk.org/women/,,bust,approx,representative pin; split rows later
Octavia Hill,woman,UK (see PSSA),51.494,-0.135,Unknown,Various,PSSA,https://pssauk.org/women/,,bust,approx,refine
Elizabeth Garrett Anderson,woman,London / Aldeburgh area — London pin,51.524,-0.135,Unknown,Various,PSSA,https://pssauk.org/women/,,bust,approx,refine
Rosalind Franklin,woman,UK campuses / London,51.523,-0.128,Various,Various,PSSA,https://pssauk.org/women/,,bust,approx,refine
Dorothy Hodgkin,woman,Oxford area,51.752,-1.258,Various,Oxford,PSSA,https://pssauk.org/women/,,bust,approx,refine
Barbara Castle,woman,Blackburn / UK,53.748,-2.482,Unknown,Local,PSSA,https://pssauk.org/women/,,statue,approx,
Barbara Hepworth commemorations,woman,Wakefield / St Ives — Wakefield pin,53.683,-1.498,Various,Various,PSSA,https://pssauk.org/women/,,statue,approx,artist commemorations; refine
Mary Kingsley,woman,UK (see PSSA),51.48,-3.18,Unknown,Local,PSSA,https://pssauk.org/women/,,bust,approx,refine
Mary Quant,woman,London,51.512,-0.138,Unknown,Local,PSSA,https://pssauk.org/women/,,statue,approx,refine
Vivien Leigh,woman,UK (see PSSA),51.51,-0.13,Unknown,Local,PSSA,https://pssauk.org/women/,,bust,approx,refine
Glenda Jackson memorials,woman,UK (see PSSA),51.55,-0.14,Unknown,Local,PSSA,https://pssauk.org/women/,,bust,approx,refine
Helen Sharman,woman,Sheffield area,53.381,-1.47,Unknown,Local,PSSA,https://pssauk.org/women/,,statue,approx,
Tanni Grey-Thompson,woman,UK (see PSSA),51.48,-3.18,Unknown,Local,PSSA,https://pssauk.org/women/,,statue,approx,refine
Nicola Adams,woman,Leeds area,53.8,-1.55,Unknown,Local,PSSA,https://pssauk.org/women/,,statue,approx,refine
Kelly Holmes,woman,Kent / UK,51.27,0.52,Unknown,Local,PSSA,https://pssauk.org/women/,,statue,approx,refine
Mary Peters,woman,Belfast area,54.6,-5.93,Unknown,Local,PSSA,https://pssauk.org/women/,,statue,approx,
Hylda Baker,woman,Farnworth / Bolton area,53.55,-2.4,Unknown,Local,PSSA,https://pssauk.org/women/,,statue,approx,
Thora Hird,woman,Morecambe / Lancashire,54.07,-2.86,Unknown,Local,PSSA,https://pssauk.org/women/,,statue,approx,
Bessie Braddock,woman,"Lime Street Station, Liverpool",53.408,-2.978,Tom Murphy,Liverpool,PSSA,https://pssauk.org/women/,2009,statue,public,approx station pin
Annie Kenney,woman,Oldham / Greater Manchester,53.54,-2.11,Unknown,Local,PSSA,https://pssauk.org/women/,,statue,approx,
Christabel Pankhurst (various),woman,UK (see PSSA) — London pin,51.498,-0.124,Various,Various,PSSA,https://pssauk.org/women/,,bust,approx,in addition to Victoria Tower Gardens memorial
Mary Seacole (other UK commemorations),woman,UK (see PSSA) — secondary pin,51.499,-0.119,Various,Various,PSSA,https://pssauk.org/women/,,bust,approx,secondary commemorations beyond St Thomas Hospital; refine or merge
I Goat (Kenny Hunter),goat,"Brushfield Street, Spitalfields, London",51.5194,-0.075,Kenny Hunter,Spitalfields,Art UK,https://artuk.org/discover/artworks/i-goat-312187,2010,statue,public,
Kashmir Goat (Great Orme),goat,"Great Orme Visitor Centre, Llandudno",53.3289,-3.8286,Graham High,Local authority,Art UK,https://artuk.org/discover/artworks/kashmir-goat-307640,,statue,public,
Goats (Sally Matthews series),goat,Gateshead Riverside Park,54.9637,-1.6126,Sally Matthews,Gateshead Council,Gateshead Council,https://www.gateshead.gov.uk/article/4588/Goats,1992,group,public,seven life-sized goats
Redesdale Goat (Carter Bar),goat,"Carter Bar, Northumberland/Scotland border",55.3667,-2.3333,Stephen Lunn,NNPA / local,Art UK,https://artuk.org/discover/artworks/redesdale-goat-337395,,statue,public,
Nibbling Goat (Georg Ehrlich),goat,The Hepworth Wakefield,53.6789,-1.4917,Georg Ehrlich,Hepworth Wakefield,Art UK,https://artuk.org/discover/artworks/nibbling-goat-275633,,statue,museum,
Johann,goat,"Knocknacarry Road, Cushendun, Co. Antrim",55.125,-6.042,Deborah Brown,People of Cushendun,Art UK,https://artuk.org/discover/artworks/johann-322850,2002,statue,public,approx shore pin; foot-and-mouth memorial
Mountain Goat,goat,"Edge Hill University, Ormskirk",53.56,-2.87,Tony Evans,Edge Hill University,Art UK,https://artuk.org/discover/artworks/mountain-goat-267724,2010,statue,campus,approx campus pin
Goatherd's Daughter,goat_with_figure,"St John's Lodge Gardens, Regent's Park, London",51.5285,-0.152,C. L. Hartwell,Royal Parks,Bob Speel,http://www.speel.me.uk/gp/goats.htm,,group,public,woman with kid goat
Natural History Museum goat medallion,goat_relief,"Natural History Museum, Cromwell Road, London",51.496,-0.176,Architectural sculpture,NHM,Bob Speel,http://www.speel.me.uk/gp/goats.htm,,relief,public,architectural roundel
Cardiff heraldic goat (lamp-holder),goat_heraldic,Cardiff city centre,51.481,-3.179,Unknown,Cardiff,Bob Speel,http://www.speel.me.uk/gp/goats.htm,,relief,public,heraldic goat rampant; curated heraldic sample
Goat and kid (Victorian orangery group),goat,UK collection (see Speel),51.5,-0.15,Unknown,Various,Bob Speel,http://www.speel.me.uk/gp/goats.htm,,group,approx,curated Speel example; refine siting
